year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning
1975,1975-05-21,BELDORE HO (2),0.09947406011403007,Wildfire,392.9839312540825,Listed Wildfire Discovery Date(s): 1975-05-21 (1) | Listed Wildfire Controlled Date(s): 1975-05-21 (1) | Listed Wildfire Out Date(s): 1975-05-21 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),163
1976,1976-07-02,HOWARDSVIL (2),0.15218210283849656,Wildfire,421.4822974744295,Listed Wildfire Discovery Date(s): 1976-07-02 (1) | Listed Wildfire Controlled Date(s): 1976-07-02 (1) | Listed Wildfire Out Date(s): 1976-07-03 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),121
1976,1976-05-29,Plum Island (2),0.09994092956556891,Wildfire,115.48644859882009,Listed Wildfire Discovery Date(s): 1976-05-29 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),155
1976,1976-10-24,Visitors Center (2),0.09991277521072815,Wildfire,114.49042434577323,Listed Wildfire Discovery Date(s): 1976-10-24 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),7
1976,1976-08-03,BEECH SPR (2),0.09944265463304876,Wildfire,366.23804259427635,Listed Wildfire Discovery Date(s): 1976-08-03 (1) | Listed Wildfire Controlled Date(s): 1976-08-04 (1) | Listed Wildfire Out Date(s): 1976-08-04 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),89
1977,1977-07-21,HALL MTN (2),84.55684240519133,Wildfire,404.5352593389914,Listed Wildfire Discovery Date(s): 1977-07-21 (1) | Listed Wildfire Controlled Date(s): 1977-07-25 (1) | Listed Wildfire Out Date(s): 1977-08-08 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),102
1977,1977-07-18,GOLD COAST (2),20.399150352459895,Wildfire,639.7911587628931,Listed Wildfire Discovery Date(s): 1977-07-18 (1) | Listed Wildfire Controlled Date(s): 1977-07-19 (1) | Listed Wildfire Out Date(s): 1977-07-21 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),105
1977,1977-08-20,BACON HOL (2),2.5714169838880907,Wildfire,392.4872087121834,Listed Wildfire Discovery Date(s): 1977-08-20 (1) | Listed Wildfire Controlled Date(s): 1977-08-20 (1) | Listed Wildfire Out Date(s): 1977-08-26 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),72
1977,1977-05-01,PLUM ISLAN (2),1.0008538539860914,Wildfire,115.52310706803607,Listed Wildfire Discovery Date(s): 1977-05-01 (1) | Listed Wildfire Controlled Date(s): 1977-05-01 (1) | Listed Wildfire Out Date(s): 1977-05-01 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),183
1977,1977-05-20,SWIFT RN E (2),0.9945633846968731,Wildfire,389.267568361379,Listed Wildfire Discovery Date(s): 1977-05-20 (1) | Listed Wildfire Controlled Date(s): 1977-05-20 (1) | Listed Wildfire Out Date(s): 1977-05-20 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),164
1977,1977-05-06,US 33 E (2),0.9945493948797286,Wildfire,388.86727408066395,Listed Wildfire Discovery Date(s): 1977-05-06 (1) | Listed Wildfire Controlled Date(s): 1977-05-06 (1) | Listed Wildfire Out Date(s): 1977-05-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),178
1977,1977-05-18,LUCKY (2),0.4013373146992949,Wildfire,484.0661709270974,Listed Wildfire Discovery Date(s): 1977-05-18 (1) | Listed Wildfire Controlled Date(s): 1977-05-18 (1) | Listed Wildfire Out Date(s): 1977-05-18 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),166
1977,1977-07-04,BLDG 600 (2),0.1999094803172418,Wildfire,115.93982974333682,"Listed Wildfire Discovery Date(s): 1977-07-04 (1), 1977-10-12 (1) | Listed Wildfire Controlled Date(s): 1977-07-04 (1) | Listed Wildfire Out Date(s): 1977-07-04 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (2) | Listed Upload Date(s): 2017-04-27 (2)",119
1977,1977-07-23,GROUP CAMP (2),0.09989514474125306,Wildfire,114.05477897609029,Listed Wildfire Discovery Date(s): 1977-07-23 (1) | Listed Wildfire Controlled Date(s): 1977-07-23 (1) | Listed Wildfire Out Date(s): 1977-07-23 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),100
1977,1977-05-24,NORTH BEAC (2),0.09985466662839451,Wildfire,112.78097099380768,Listed Wildfire Discovery Date(s): 1977-05-24 (1) | Listed Wildfire Controlled Date(s): 1977-05-24 (1) | Listed Wildfire Out Date(s): 1977-05-24 (1) | Listed Other Fire Date(s): 2017-04-27 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2017-04-27 (1),160
1977,1977-07-21,STONYMAN M (2),0.09944856297819701,Wildfire,371.2209095414196,Listed Wildfire Discovery Date(s): 1977-07-21 (1) | Listed Wildfire Controlled Date(s): 1977-07-21 (1) | Listed Wildfire Out Date(s): 1977-07-26 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),102
1977,1977-07-22,MILE 26 (2),0.09944437507150962,Wildfire,364.77525539387096,Listed Wildfire Discovery Date(s): 1977-07-22 (1) | Listed Wildfire Controlled Date(s): 1977-07-22 (1) | Listed Wildfire Out Date(s): 1977-07-22 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),101
