year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning,smoke_impact,normalized_smoke_impact
2007,2007-08-04,Buzzard Rock 2 (5),13.662490889152762,Wildfire,407.5336598229138,"Listed Wildfire Discovery Date(s): 2007-08-04 (2), 2007-07-02 (2), 2007-06-28 (2) | Listed Wildfire Controlled Date(s): 2007-08-07 (2), 2007-07-05 (2), 2007-06-30 (2) | Listed Wildfire Out Date(s): 2007-08-14 (6) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (6), 2012-02-29 - DATE_CUR field (3) | Listed Upload Date(s): 2016-03-23 (3)",88,0.007239116872259755,0.007213040237956339
2007,2007-06-12,Pit Fire (2),5.013055126942416,Wildfire,386.35830542734766,Listed Wildfire Discovery Date(s): 2007-06-12 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),141,0.004735230103508155,0.004724054167972469
2007,2007-10-30,Hooten Hollow (2),4.994929843238126,Wildfire,433.14952237717506,Listed Wildfire Discovery Date(s): 2007-10-30 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),1,2.6622798981298074e-05,2.6622444600874993e-05
2007,2007-05-09,Charcoal (2),4.991789685371192,Wildfire,401.1007742976628,Listed Wildfire Discovery Date(s): 2007-05-09 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),175,0.005429843685505533,0.005415155230966166
2007,2007-09-27,Rock Oak (2),4.991457975812798,Wildfire,364.6334098612919,Listed Wildfire Discovery Date(s): 2007-09-27 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),34,0.0012764194653978615,0.0012756055346098173
2007,2007-08-01,Chimney Rock (5),4.888423467462016,Wildfire,406.8756511121952,"Listed Wildfire Discovery Date(s): 2007-08-01 (2) | Listed Wildfire Controlled Date(s): 2007-08-07 (2) | Listed Wildfire Out Date(s): 2007-08-11 (2) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2), 2012-02-29 - DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1)",91,0.002687118449880562,0.0026835146016331987
2007,2007-05-01,Irish Mt. Fire (2),3.3061892153179815,Wildfire,518.6692631513449,Listed Wildfire Discovery Date(s): 2007-05-01 (1) | Listed Wildfire Controlled Date(s): 2007-05-02 (1) | Listed Wildfire Out Date(s): 2007-05-03 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),183,0.0022490430603369933,0.002246517748641075
2007,2007-06-16,Pole (2),2.0510540225075555,Wildfire,373.11875170435934,Listed Wildfire Discovery Date(s): 2007-06-16 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),137,0.002018382699341715,0.002016348501714183
2007,2007-08-29,MP24Fire (2),0.977623175491094,Wildfire,467.7553794102579,Listed Wildfire Discovery Date(s): 2007-08-29 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),63,0.00028149744428759875,0.00028145783131582107
2007,2007-05-08,Steakhouse (2),0.3310650097692951,Wildfire,379.7380601299271,Listed Wildfire Discovery Date(s): 2007-05-08 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),176,0.0004040710121154423,0.0004039893974087109
2007,2007-09-06,Fall Bush (2),0.2708523982923341,Wildfire,388.9517038776809,Listed Wildfire Discovery Date(s): 2007-09-06 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),55,9.847001821683842e-05,9.846517036283751e-05
2007,2007-10-11,Glade Creek (2),0.1246387863961593,Wildfire,523.8036836007996,Listed Wildfire Discovery Date(s): 2007-10-11 (1) | Listed Wildfire Controlled Date(s): 2007-10-11 (1) | Listed Wildfire Out Date(s): 2007-10-15 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),20,9.085443057899054e-06,9.085401785511261e-06
2007,2007-09-24,Explorer (2),0.1147867080891471,Wildfire,408.980850355974,Listed Wildfire Discovery Date(s): 2007-09-24 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),37,2.5391442733642876e-05,2.5391120376417562e-05
2007,2007-09-24,Landacre (2),0.1147460212049311,Wildfire,368.34345728143927,Listed Wildfire Discovery Date(s): 2007-09-24 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),37,3.129200848237721e-05,3.129151889769315e-05
2007,2007-07-28,Deep Run (5),0.095407337090465,Wildfire,402.6804624256676,"Listed Wildfire Discovery Date(s): 2007-07-28 (2) | Listed Wildfire Controlled Date(s): 2007-07-30 (2) | Listed Wildfire Out Date(s): 2007-08-11 (2) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2), 2012-02-29 - DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1)",95,5.589645460810967e-05,5.5894892459502896e-05
